,Status,City,State,ServicePop,Restoration
592,Moratorium,Stafford Utilities ,Virginia,112285,Y
593,Moratorium,Statewide (regulated),Virginia,465017,N
594,Moratorium,Staunton,Virginia,24528,N
595,Moratorium,Suffolk,Virginia,67487,N
596,Moratorium,Virginia Beach,Virginia,446067,N
597,Moratorium,Washington County Service Authority,Virginia,47574,N
598,Moratorium,Western Virginia Water Authority,Virginia,155000,N
600,Moratorium,Bellevue,Washington,NA,N
602,Moratorium,Camas,Washington,NA,N
603,Moratorium,Chelan County PUD,Washington,NA,N
604,Moratorium,Clark,Washington,NA,Y
607,Moratorium,Lake Forest Park Water District,Washington,NA,N
608,Moratorium,Lakehaven,Washington,NA,N
610,Moratorium,Long Beach,Washington,NA,N
614,Moratorium,Parkland,Washington,NA,N
615,Moratorium,Pasco,Washington,NA,N
616,Moratorium,Pullman,Washington,NA,N
617,Moratorium,Puyallup,Washington,NA,N
618,Moratorium,Redmond,Washington,NA,N
621,Moratorium,Seattle,Washington,NA,N
623,Moratorium,Snohomish County Public Utility District,Washington,NA,N
624,Moratorium,Snoqualmie,Washington,NA,N
625,Moratorium,Spokane,Washington,NA,N
626,Moratorium,Statewide (all),Washington,7651613,Y
627,Moratorium,Tacoma,Washington,NA,N
629,Moratorium,Walla Walla,Washington,NA,N
630,Moratorium,Wenatchee,Washington,NA,N
631,Moratorium,Fairmont,West Virginia,29864,Y
632,Moratorium,Morgantown,West Virginia,58023,N
633,Moratorium,Statewide (Regulated),West Virginia,490625,N
638,Moratorium,Statewide (all),Wisconsin,4119930,Y
315,Moratorium ,New Orleans ,Louisiana,291044,Y
447,Moratorium ,Cincinnati ,Ohio,NA,Y
453,Moratorium ,Hamilton,Ohio,NA,Y
227,Pre-existing Moratorium,Chicago,Illinois,2700000,N
320,Pre-existing Moratorium,Baltimore,Maryland,NA,NA - no shutoffs since 2017
334,Pre-existing Moratorium,Flint,Michigan,NA,Y
512,Pre-existing Moratorium,Pittsburgh,Pennsylvania,520000,N
